level_0,Brands,Months,ARP,vs. Prior Period,Total Units,vs Prior Period unit,Total Sales ($),index
0,#BlackSeries,08/2020,15.68491254326,0.026478915472433216,1616.339004,0.16973925582029367,25352.135918,0.0
1,#BlackSeries,01/2021,13.6114275722451,0.026478915472433216,715.532838,0.16973925582029367,9739.4234,2.0
3,101 Cannabis Co.,11/2019,34.0666666132592,0.026478915472433216,131.06772,0.16973925582029367,4465.040321,5.0
4,101 Cannabis Co.,01/2020,34.1349291270211,0.026478915472433216,345.413448,0.16973925582029367,11790.663567,7.0
5,101 Cannabis Co.,02/2020,29.0913884124084,-0.147753074155947,696.658431,1.0168827676912,20266.761007,8.0
6,101 Cannabis Co.,03/2020,32.2934979809397,0.110070702818898,943.393328,0.354169110744603,30465.470533,9.0
7,101 Cannabis Co.,04/2020,32.934344142295,0.0198444331342957,712.498102,-0.244749691509372,23465.657692,10.0
8,101 Cannabis Co.,05/2020,34.4417251680105,0.0457692741413878,619.841032,-0.130045356948895,21348.394472,11.0
9,101 Cannabis Co.,06/2020,33.1144969411624,-0.0385354746422751,426.15045,-0.312484285486927,14111.757773,12.0
10,101 Cannabis Co.,07/2020,32.1314074130653,-0.0296875875796586,589.719394,0.383829100731913,18948.514108,13.0
11,101 Cannabis Co.,08/2020,32.1463817843429,0.0004660353368601,1018.574112,0.727218270864599,32743.47228,14.0
12,101 Cannabis Co.,09/2020,31.8271401674611,-0.0099308724391891,1408.850688,0.383159724365743,44839.688322,15.0
13,101 Cannabis Co.,10/2020,30.3751075780971,-0.04562246503217,1148.96297,-0.184467893023451,34899.873817,16.0
14,101 Cannabis Co.,11/2020,33.7829334865108,0.112191402109503,447.160529,-0.610813802815595,15106.394409,17.0
15,101 Cannabis Co.,12/2020,35.1609454572214,0.04079018097291,337.960505,-0.244207654562463,11883.010883,18.0
16,101 Cannabis Co.,01/2021,32.206812212904,-0.0840174576053865,250.23205,-0.259581973935091,8059.176644,19.0
17,101 Cannabis Co.,02/2021,34.6435990406538,0.0756606028451802,395.824159,0.581828382894997,13712.773455,20.0
18,101 Cannabis Co.,03/2021,35.4482666496966,0.0232270211907988,686.85741,0.735258938553066,24347.90462,21.0
19,101 Cannabis Co.,04/2021,33.2758125935301,-0.0612851984452411,624.625543,-0.090603764469833,20784.92251,22.0
20,101 Cannabis Co.,05/2021,35.0442635555109,0.053145237460694,345.761831,-0.44644942097733,12116.968733,23.0
21,101 Cannabis Co.,06/2021,38.496969705656,0.0985241463178709,138.147966,-0.600453394174674,5318.278062,24.0
22,101 Cannabis Co.,07/2021,36.6851501516531,-0.0470639525099218,291.781303,1.11209264564923,10704.040912,25.0
23,101 Cannabis Co.,08/2021,24.7401002482093,-0.32560994991336,421.257001,0.443742270902122,10421.940435,26.0
