Brands,Months,ARP,vs. Prior Period,Total Units,vs Prior Period unit,Total Sales ($),month,year,annual_avg
#BlackSeries,7/2020,7.440010937684205,-0.06502848986459497,934.6663842909998,0.26744068756635836,6953.928122210787,7,2020,12.300831917532106
#BlackSeries,08/2020,15.68491254326,-0.5256581178145446,1616.339004,-0.42173864394910077,25352.135918,8,2020,12.300831917532106
#BlackSeries,09/2020,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,9,2020,12.300831917532106
#BlackSeries,12/2020,6.456470173849744,-0.06502848986459497,413.7649892008284,0.26744068756635836,2671.46131175841,12,2020,12.300831917532106
#BlackSeries,01/2021,13.6114275722451,-0.5256581178145446,715.532838,-0.42173864394910077,9739.4234,1,2021,12.74230479483715
#BlackSeries,02/2021,11.8731820174292,-0.127704867515906,766.669135,0.0714660380129195,9102.802187,2,2021,12.74230479483715
101 Cannabis Co.,10/2019,16.15924676111778,-0.06502848986459497,75.79139750169958,0.26744068756635836,1224.7318945999293,10,2019,23.282615796570486
101 Cannabis Co.,11/2019,34.0666666132592,-0.5256581178145446,131.06772,-0.42173864394910077,4465.040321,11,2019,23.282615796570486
101 Cannabis Co.,12/2019,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,12,2019,23.282615796570486
101 Cannabis Co.,1/2020,24.793046343010364,-0.06502848986459497,1405.0783844506886,0.26744068756635836,34836.17350124806,1,2020,31.841034572877078
101 Cannabis Co.,02/2020,29.0913884124084,-0.147753074155947,696.658431,1.0168827676912,20266.761007,2,2020,31.841034572877078
101 Cannabis Co.,03/2020,32.2934979809397,0.110070702818898,943.393328,0.354169110744603,30465.470533,3,2020,31.841034572877078
101 Cannabis Co.,04/2020,32.934344142295,0.0198444331342957,712.498102,-0.244749691509372,23465.657692,4,2020,31.841034572877078
101 Cannabis Co.,05/2020,34.4417251680105,0.0457692741413878,619.841032,-0.130045356948895,21348.394472,5,2020,31.841034572877078
101 Cannabis Co.,06/2020,33.1144969411624,-0.0385354746422751,426.15045,-0.312484285486927,14111.757773,6,2020,31.841034572877078
101 Cannabis Co.,07/2020,32.1314074130653,-0.0296875875796586,589.719394,0.383829100731913,18948.514108,7,2020,31.841034572877078
101 Cannabis Co.,08/2020,32.1463817843429,0.0004660353368601,1018.574112,0.727218270864599,32743.47228,8,2020,31.841034572877078
101 Cannabis Co.,09/2020,31.8271401674611,-0.0099308724391891,1408.850688,0.383159724365743,44839.688322,9,2020,31.841034572877078
101 Cannabis Co.,10/2020,30.3751075780971,-0.04562246503217,1148.96297,-0.184467893023451,34899.873817,10,2020,31.841034572877078
101 Cannabis Co.,11/2020,33.7829334865108,0.112191402109503,447.160529,-0.610813802815595,15106.394409,11,2020,31.841034572877078
101 Cannabis Co.,12/2020,35.1609454572214,0.04079018097291,337.960505,-0.244207654562463,11883.010883,12,2020,31.841034572877078
101 Cannabis Co.,1/2021,37.26475462879637,-0.06502848986459497,626.1258893417422,0.26744068756635836,23332.42763305693,1,2021,34.44986457171327
101 Cannabis Co.,02/2021,34.6435990406538,0.0756606028451802,395.824159,0.581828382894997,13712.773455,2,2021,34.44986457171327
101 Cannabis Co.,03/2021,35.4482666496966,0.0232270211907988,686.85741,0.735258938553066,24347.90462,3,2021,34.44986457171327
101 Cannabis Co.,04/2021,33.2758125935301,-0.0612851984452411,624.625543,-0.090603764469833,20784.92251,4,2021,34.44986457171327
101 Cannabis Co.,05/2021,35.0442635555109,0.053145237460694,345.761831,-0.44644942097733,12116.968733,5,2021,34.44986457171327
101 Cannabis Co.,06/2021,38.496969705656,0.0985241463178709,138.147966,-0.600453394174674,5318.278062,6,2021,34.44986457171327
101 Cannabis Co.,07/2021,36.6851501516531,-0.0470639525099218,291.781303,1.11209264564923,10704.040912,7,2021,34.44986457171327
101 Cannabis Co.,08/2021,24.7401002482093,-0.32560994991336,421.257001,0.443742270902122,10421.940435,8,2021,34.44986457171327
10x Infused,8/2018,5.683010880527182,-0.06502848986459497,23.840213740398866,0.26744068756635836,135.48419408078038,8,2018,8.831921945700142
10x Infused,09/2018,11.9808330108731,-0.5256581178145446,142.839336,-0.83309769977929,1711.334232,9,2018,8.831921945700142
11:11,1/2020,3.3499999701124348,-0.06502848986459497,5704.310394598514,0.26744068756635836,19109.439651417073,1,2020,27.76304612571562
11:11,02/2020,7.06241657320631,-0.5256581178145446,9864.588624,-0.42173864394910077,69667.834186,2,2020,27.76304612571562
11:11,03/2020,9.03798344817725,0.279729587527579,19101.379754,0.936358471911073,172637.954054,3,2020,27.76304612571562
11:11,04/2020,10.281978079687,0.137640729112054,13929.993549,-0.270733647076833,143227.888321,4,2020,27.76304612571562
11:11,05/2020,10.5022850480683,0.021426516053021,5948.690178,-0.572958152703018,62474.839912,5,2020,27.76304612571562
11:11,06/2020,15.9723947156421,0.52084947633182,1533.28071,-0.742249022201472,24490.16471,6,2020,27.76304612571562
11:11,07/2020,43.4227328698279,1.71861130675058,580.697567,-0.62127119762695,25215.47533,7,2020,27.76304612571562
11:11,08/2020,52.3246091984656,0.205004976433049,466.127136,-0.197297935295121,24389.920228,8,2020,27.76304612571562
11:11,09/2020,51.0650823917175,-0.0240714039921586,385.756736,-0.172421628763531,19698.699507,9,2020,27.76304612571562
11:11,10/2020,41.0824358313343,-0.195488699769578,778.069669,1.01699567729648,31964.997249,10,2020,27.76304612571562
11:11,11/2020,46.8616089277303,0.14067260081955,1366.190997,0.755872322790671,64021.908222,11,2020,27.76304612571562
