Products,Months,Total Sales ($)
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Sep-21,"883,430.43"
Pacific Stone - 805 Glue - Flower (Gram),Aug-21,"883,345.62"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Nov-19,"879,947.95"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Nov-19,"878,520.27"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Dec-18,"874,504.55"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Apr-20,"873,182.16"
Concentrate - Strain Blends - Distillate Cartridge,May-21,"866,684.22"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Sep-21,"855,469.78"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Nov-18,"853,342.82"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Nov-18,"851,281.01"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Apr-21,"850,381.05"
Pacific Stone - 805 Glue - Flower (Gram),Jul-21,"847,915.97"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Jan-20,"845,028.96"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Apr-20,"844,694.66"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Dec-18,"844,525.02"
Caliva - Alien OG - Flower (Gram),Apr-21,"844,465.83"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Oct-19,"842,517.93"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Oct-18,"842,083.06"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Dec-19,"839,807.52"
Pacific Stone - 805 Glue - Flower (Gram),Feb-21,"838,704.00"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Dec-18,"835,320.37"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Feb-19,"834,553.94"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Nov-19,"834,175.62"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Feb-20,"832,509.52"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Sep-19,"832,021.92"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Dec-19,"831,693.07"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",May-21,"822,912.32"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jan-21,"822,574.40"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Jan-19,"821,027.70"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Apr-19,"819,921.11"
Pacific Stone - Wedding Cake - Flower (Gram),Jun-20,"818,895.55"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Sep-20,"814,789.12"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Apr-19,"813,731.25"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",May-19,"812,132.40"
Pacific Stone - 805 Glue - Flower (Gram),Feb-20,"811,719.27"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Mar-19,"809,499.65"
Pacific Stone - Private Reserve OG - Flower (Gram),Jan-20,"809,292.85"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Jan-21,"806,630.72"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Oct-18,"805,311.75"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Feb-19,"803,908.95"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Oct-18,"799,433.71"
Pacific Stone - Private Reserve OG - Flower (Gram),Aug-20,"798,001.83"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Jul-21,"796,437.39"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Mar-20,"794,956.63"
Pacific Stone - Wedding Cake - Flower (Gram),Sep-21,"792,998.74"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Jan-19,"791,747.86"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jun-20,"790,040.53"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Jul-19,"789,218.53"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Feb-19,"788,478.64"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Mar-19,"787,184.20"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Nov-18,"786,880.54"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jun-21,"782,034.82"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Apr-21,"780,980.79"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Aug-19,"779,574.82"
Concentrate - Strain Blends - Distillate Cartridge,Jan-21,"772,238.32"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Mar-20,"770,977.19"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jul-21,"770,328.72"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Dec-19,"769,795.02"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Jan-19,"768,645.38"
Caliva - Alien OG - Flower (Gram),Mar-21,"767,572.26"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jul-20,"761,154.70"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Dec-19,"760,779.47"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Jan-20,"759,005.70"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jun-19,"758,929.38"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",May-21,"758,521.42"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Apr-19,"757,434.11"
Up North Humboldt - Durban Poison - Flower (Gram),Jun-20,"756,293.07"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Apr-21,"756,084.03"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jan-20,"754,324.39"
Caliva - Alien OG - Flower (Gram),May-21,"753,630.75"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",May-19,"752,782.16"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jul-19,"751,765.70"
Connected Cannabis Co. - Biscotti - Flower (Gram),Jul-20,"750,473.33"
Up North Humboldt - Durban Poison - Flower (Gram),Mar-20,"748,531.60"
Concentrate - Strain Blends - Distillate Cartridge,Mar-21,"747,602.75"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Jun-19,"743,323.88"
Private Label - Vape Pen,Dec-18,"743,101.25"
Pacific Stone - Wedding Cake - Flower (Gram),May-20,"740,342.28"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Jul-20,"738,380.58"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",May-19,"735,207.12"
Stiiizy - Vape Pen,Feb-21,"735,193.67"
Concentrate - Strain Blends - Oil Cartridge,Apr-20,"734,043.14"
Pacific Stone - 805 Glue - Flower (Gram),Jan-20,"732,931.09"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jul-20,"732,716.10"
Private Label - Vape Pen,Oct-18,"732,133.11"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Jun-20,"730,556.66"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jan-19,"730,054.30"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Aug-20,"728,370.04"
Up North Humboldt - Durban Poison - Flower (Gram),Aug-19,"726,658.12"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Nov-18,"724,717.97"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jul-21,"724,539.27"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Sep-20,"723,501.97"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",May-21,"723,189.55"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Apr-21,"722,695.31"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",May-19,"721,544.49"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Feb-21,"720,384.22"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Feb-20,"719,005.88"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Oct-18,"717,699.47"
Concentrate - Strain Blends - Oil Cartridge,May-20,"716,407.33"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Apr-20,"715,614.15"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Mar-20,"715,209.74"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Apr-20,"715,135.56"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Oct-19,"714,313.00"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Jun-19,"711,187.90"
Up North Humboldt - Durban Poison - Flower (Gram),Nov-20,"710,745.63"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Sep-21,"709,849.36"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Aug-21,"709,656.31"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Dec-20,"708,853.98"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Jun-21,"708,570.18"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Jul-21,"708,287.45"
Stiiizy - Vape Pen,Jan-21,"706,881.17"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",Jul-20,"705,099.48"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Jul-19,"705,068.67"
THC Design - Crescendo - Flower (Gram),Sep-20,"704,676.73"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Apr-19,"701,767.21"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Oct-20,"699,726.06"
Private Label - Vape Pen,Aug-19,"697,577.43"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",May-20,"697,573.71"
Concentrate - Strain Blends - Distillate Cartridge,Oct-20,"696,958.81"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Nov-19,"696,724.81"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Aug-21,"695,947.72"
Private Label - Vape Pen,Jul-19,"694,670.97"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Dec-20,"693,653.21"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Mar-21,"693,116.62"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Feb-21,"687,577.25"
Fun Uncle - Shotgun OG - Flower (Gram),Dec-20,"687,229.34"
Private Label - Vape Pen,Nov-18,"686,713.91"
Private Label - Vape Pen,May-19,"686,670.76"
Concentrate - Strain Blends - Distillate Cartridge,Feb-21,"686,495.76"
Stiiizy - Vape Pen,Aug-20,"685,429.58"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jun-20,"685,018.56"
Fun Uncle - Shotgun OG - Flower (Gram),Jan-21,"684,833.13"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jun-19,"684,295.85"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jan-20,"684,181.25"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",Jul-20,"684,022.14"
Up North Humboldt - Durban Poison - Flower (Gram),Sep-20,"683,405.03"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Sep-21,"681,748.69"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Jun-19,"680,795.50"
THC Design - Crescendo - Flower (Gram),Jan-21,"680,673.92"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Jun-21,"680,457.52"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Jun-21,"680,192.83"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Mar-19,"677,882.93"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",May-20,"675,979.96"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Jun-21,"675,695.12"
Stiiizy - Vape Pen,Dec-20,"674,963.20"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Feb-20,"674,631.74"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",May-19,"673,814.64"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Mar-21,"672,344.34"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jan-21,"671,187.14"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",May-21,"671,104.48"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD",Sep-19,"670,107.10"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jul-20,"669,992.05"
Pacific Stone - Wedding Cake - Flower (Gram),Apr-20,"669,174.97"
Concentrate - Strain Blends - Oil Cartridge,Jan-20,"668,801.27"
Stiiizy - Vape Pen,Sep-20,"667,814.17"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Apr-21,"667,165.57"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Nov-19,"665,994.05"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Sep-20,"662,557.53"
Stiiizy - Vape Pen,Jul-20,"661,197.24"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Oct-19,"661,075.89"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",Aug-20,"657,395.09"
Up North Humboldt - Durban Poison - Flower (Gram),Sep-19,"655,848.04"
Concentrate - Strain Blends - Distillate Cartridge,Dec-20,"655,534.62"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Aug-20,"654,632.34"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Feb-20,"654,556.77"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Aug-21,"654,548.62"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Mar-20,"653,924.42"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",May-21,"652,139.31"
Up North Humboldt - Durban Poison - Flower (Gram),Jul-20,"651,665.26"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Oct-19,"651,191.29"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack",Sep-20,"651,029.98"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Mar-21,"650,980.75"
Connected Cannabis Co. - Gelonade - Flower (Gram),Jun-20,"650,699.87"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Nov-19,"648,910.66"
Stiiizy - Vape Pen,Nov-20,"648,864.31"
Connected Cannabis Co. - Gelonade - Flower (Gram),Dec-19,"648,006.61"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Mar-19,"646,922.56"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",Aug-20,"645,960.60"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",May-20,"645,672.52"
Up North Humboldt - Durban Poison - Flower (Gram),May-20,"645,600.73"
Pacific Stone - 805 Glue - Flower (Gram),Mar-20,"643,459.87"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Feb-19,"642,097.62"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Jul-21,"641,315.30"
Concentrate - Strain Blends - Oil Cartridge,Dec-18,"640,235.76"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Sep-21,"639,018.46"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Sep-21,"638,868.14"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jun-20,"638,454.97"
Pacific Stone - Wedding Cake - Flower (Gram),Feb-20,"637,508.08"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Jul-19,"637,266.65"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Dec-19,"636,238.24"
Stiiizy - Vape Pen,Oct-20,"632,596.60"
Concentrate - Strain Blends - Oil Cartridge,Oct-20,"632,443.46"
Pacific Stone - Private Reserve OG - Flower (Gram),Dec-19,"632,136.89"
Concentrate - Strain Blends - Oil Cartridge,Jan-19,"631,578.50"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Aug-20,"631,305.89"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC",Feb-19,"630,984.47"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Nov-20,"630,827.81"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Sep-21,"630,393.64"
THC Design - Crescendo - Flower (Gram),Jul-20,"630,172.31"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Mar-20,"630,018.46"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",May-19,"626,621.40"
Up North Humboldt - Durban Poison - Flower (Gram),Aug-20,"625,937.68"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",May-21,"625,344.06"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Mar-21,"621,331.98"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Aug-19,"620,837.41"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Jan-20,"618,941.53"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Jul-21,"617,605.13"
Private Label - Vape Pen,Mar-19,"616,972.17"
Concentrate - Strain Blends - Live Resin,Oct-20,"616,885.28"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack",Sep-20,"616,310.80"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",May-19,"615,010.97"
Up North Humboldt - Durban Poison - Flower (Gram),Jul-19,"614,554.90"
Pacific Stone - 805 Glue - Flower (Gram),Apr-20,"614,078.79"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Apr-20,"613,825.62"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Jan-20,"612,562.47"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg",Jul-21,"611,864.94"
Concentrate - Strain Blends - Oil Cartridge,Nov-20,"609,627.44"
Pacific Stone - Wedding Cake - Flower (Gram),Mar-20,"608,402.07"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jun-21,"607,777.91"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Oct-20,"606,371.93"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",May-19,"606,363.88"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Aug-20,"604,673.81"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Dec-18,"604,384.24"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Sep-19,"603,271.68"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Oct-19,"602,979.79"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Jul-21,"602,943.01"
Up North Humboldt - Durban Poison - Flower (Gram),Nov-19,"602,591.08"
Concentrate - Strain Blends - Oil Cartridge,Jul-20,"602,503.30"
THC Design - Crescendo - Flower (Gram),Aug-20,"601,921.03"
Private Label - Vape Pen,Jun-19,"601,836.17"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Jan-20,"601,421.19"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Dec-20,"601,151.90"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Nov-19,"600,864.15"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",May-21,"600,079.81"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Sep-20,"597,301.54"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Dec-20,"597,057.93"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Feb-21,"596,344.36"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Nov-18,"595,380.28"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Apr-19,"593,909.40"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Mar-21,"593,397.14"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Oct-20,"593,360.27"
Concentrate - Strain Blends - Live Resin,Dec-20,"593,294.21"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Dec-20,"591,150.29"
Private Label - Vape Pen,Feb-19,"590,593.78"
Connected Cannabis Co. - Biscotti - Flower (Gram),Apr-20,"590,312.12"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Apr-20,"590,203.72"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg",Aug-21,"588,248.29"
Concentrate - Strain Blends - Distillate Cartridge,Jul-19,"587,678.34"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Apr-19,"587,489.79"
Up North Humboldt - Durban Poison - Flower (Gram),Apr-20,"586,885.54"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC",Dec-18,"586,071.42"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Apr-19,"585,830.75"
Concentrate - Strain Blends - Oil Cartridge,Mar-20,"584,164.82"
Fun Uncle - Shotgun OG - Flower (Gram),Jul-21,"583,707.29"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",May-20,"583,313.94"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Oct-20,"582,896.08"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Dec-18,"582,865.55"
Concentrate - Strain Blends - Oil Cartridge,Sep-20,"582,602.56"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Sep-19,"582,499.98"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD",Mar-19,"582,393.55"
Pacific Stone - Private Reserve OG - Flower (Gram),Sep-20,"581,353.15"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Jun-21,"580,871.07"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Nov-20,"579,708.78"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Jun-19,"577,976.89"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Apr-19,"577,921.19"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC",Aug-21,"576,817.39"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg",Aug-21,"576,640.97"
Pacific Stone - 805 Glue - Flower (Gram),Sep-21,"576,283.11"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Nov-20,"575,836.40"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD",Jan-21,"573,976.02"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD",Jan-19,"572,671.63"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD",Jul-19,"571,789.83"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Aug-19,"571,639.16"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD",Mar-19,"571,462.45"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Apr-20,"569,915.02"
Concentrate - Strain Blends - Oil Cartridge,Jun-20,"569,501.18"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Mar-21,"569,089.76"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC",Jan-21,"568,606.63"
Private Label - Vape Pen,Apr-19,"568,569.10"
Connected Cannabis Co. - Gelonade - Flower (Gram),Sep-20,"568,396.05"
Concentrate - Strain Blends - Live Resin,Jul-21,"566,834.42"
Pacific Stone - Private Reserve OG - Flower (Gram),Nov-19,"566,120.41"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Oct-18,"565,438.35"
